organization	recall_number	recall_date	recall_url	manufacturers	product_types	descriptions	upcs	hazards	countries
CPSC	14173	2014-03-14	http://cs.cpsc.gov/ConceptDemo/SearchCPSC.aspx?SearchCategory=Recalls%20News%20Releases&category=995,1098,990,991,992,993,994,1031&autodisplay=true&query=14173	QVC	Adapter/Power Supply/Charger/Battery	MobilePower Instant Boost 500 power packs		Fire & Fire-Related Burn	China
CPSC	14130	2014-03-13	http://www.cpsc.gov/en/Recalls/2014/BMC-Recalls-Stromer-Electric-Bicycles/	MyStromer AG	Bicycles & Accessories	Stromer ST1 electric bicycles		Injury	Switzerland
CPSC	14722	2014-03-13	http://www.cpsc.gov/en/Recalls/Recall-Alerts/2014/The-Conran-Shop-Recalls-Pondicherry-Dining-Tables/	Goel Exports	Furniture (Miscellaneous)	Dining tables		Lead	India
CPSC	14131	2014-03-13	http://www.cpsc.gov/en/Recalls/2014/TJX-Recalls-Autumn-2013-Gardeners-Eden-Light-Up-Decorations/	Dalian Guangsheng Arts & Crafts	Decorations	Gardeners Eden™ light-up autumn decorations,null		Fire & Fire-Related Burn	China
CPSC	14129	2014-03-12	http://cs.cpsc.gov/ConceptDemo/SearchCPSC.aspx?SearchCategory=Recalls%20News%20Releases&category=995,1098,990,991,992,993,994,1031&autodisplay=true&query=14129	Flextronics Sales & Marketing AP	Sports Equipment & Accessories	Fitbit Force Wireless activity-tracking wristband, model numbers FB402BK, FB402BKS, FB402SL and FB402SLS		Allergic Reaction	China
CPSC	14721	2014-03-11	http://www.cpsc.gov/en/Recalls/Recall-Alerts/2014/Therapedic-of-New-England-Recalls-Mattresses/	TEP Bedding Group	Mattresses & Covers	Therapedic of New England Therapedic brand twin and full size Comfort Deluxe and Comfort Supreme style mattresses		Fire & Fire-Related Burn	United States
CPSC	14720	2014-03-07	http://www.cpsc.gov/en/Recalls/Recall-Alerts/2014/ZLP-Manufacturing-Recalls-Hornet-Zip-Line-Trolleys/	ZLP Manufacturing	Swings/Gliders	LP Hornet zip line trolleys		Fall	United States
CPSC	14125	2014-03-06	http://cs.cpsc.gov/ConceptDemo/SearchCPSC.aspx?SearchCategory=Recalls%20News%20Releases&category=995,1098,990,991,992,993,994,1031&autodisplay=true&query=14125	Packaging Tape	Blowers	Air movers/blowers		Fire & Fire-Related Burn	China
CPSC	14128	2014-03-06	http://www.cpsc.gov/en/Recalls/2014/Canon-Recalls-to-Repair-PowerShot-SX50-HS-Digital-Cameras/	Canon	Cameras & Accessories	Canon PowerShot SX50 HS Digital Cameras		Poisoning	Japan
CPSC	14127	2014-03-06	http://cs.cpsc.gov/ConceptDemo/SearchCPSC.aspx?SearchCategory=Recalls%20News%20Releases&category=995,1098,990,991,992,993,994,1031&autodisplay=true&query=14127	Tektro	Bicycle & Accessories	Spyre and Spyre SLC dual-piston mechanical disc brake calipers		Crash	Taiwan
